epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,112.351,1.51053,0.40559,0.95105,1.36016,0.0671755,0.00033156,0.00033156
2,219.472,1.26273,0.46853,0.99301,1.34121,0.0341689,0.000658311,0.000658311
3,324.829,1.13438,0.51049,0.98601,1.33457,0.00115577,0.000978462,0.000978462
4,434.374,1.05465,0.56643,0.99301,1.12383,0.0009703,0.0009703,0.0009703
5,541.814,1.00453,0.55944,0.99301,1.19521,0.0009604,0.0009604,0.0009604
6,650.823,0.89719,0.63636,1,1.11572,0.0009505,0.0009505,0.0009505
7,757.604,0.82883,0.59441,0.98601,1.37812,0.0009406,0.0009406,0.0009406
8,865.061,0.80524,0.58741,1,1.31523,0.0009307,0.0009307,0.0009307
9,972.535,0.76775,0.63636,1,1.12422,0.0009208,0.0009208,0.0009208
10,1079.07,0.67962,0.67133,1,1.10342,0.0009109,0.0009109,0.0009109
11,1186.25,0.66925,0.66434,1,1.22559,0.000901,0.000901,0.000901
12,1292.93,0.63235,0.62238,0.99301,1.39844,0.0008911,0.0008911,0.0008911
13,1403.81,0.6189,0.67832,1,1.10591,0.0008812,0.0008812,0.0008812
14,1512.01,0.56149,0.66434,1,1.23623,0.0008713,0.0008713,0.0008713
15,1622.73,0.55205,0.6993,0.99301,1.18633,0.0008614,0.0008614,0.0008614
16,1729.79,0.55437,0.63636,1,1.16025,0.0008515,0.0008515,0.0008515
17,1841.38,0.49083,0.64336,0.98601,1.42822,0.0008416,0.0008416,0.0008416
18,1946.69,0.47488,0.6993,1,1.13252,0.0008317,0.0008317,0.0008317
19,2052.4,0.46626,0.65734,1,1.24297,0.0008218,0.0008218,0.0008218
20,2157.81,0.41174,0.65734,0.99301,1.24111,0.0008119,0.0008119,0.0008119
21,2260.73,0.43939,0.67133,1,1.25801,0.000802,0.000802,0.000802
22,2367.61,0.40621,0.70629,0.99301,1.13623,0.0007921,0.0007921,0.0007921
23,2472.98,0.369,0.65734,1,1.70332,0.0007822,0.0007822,0.0007822
24,2581.95,0.39828,0.72727,0.99301,1.14189,0.0007723,0.0007723,0.0007723
25,2685.99,0.36439,0.70629,0.99301,1.35254,0.0007624,0.0007624,0.0007624
26,2791.6,0.3529,0.64336,1,1.55762,0.0007525,0.0007525,0.0007525
27,2895.47,0.33332,0.67133,0.98601,1.42793,0.0007426,0.0007426,0.0007426
28,2999.12,0.33976,0.72028,1,1.3873,0.0007327,0.0007327,0.0007327
29,3106.4,0.30708,0.72727,1,1.52305,0.0007228,0.0007228,0.0007228
30,3210.27,0.3168,0.73427,1,1.48457,0.0007129,0.0007129,0.0007129
31,3316.22,0.29958,0.70629,1,1.32158,0.000703,0.000703,0.000703
32,3420.67,0.28006,0.71329,1,1.75254,0.0006931,0.0006931,0.0006931
33,3527.65,0.2787,0.72028,0.99301,1.60742,0.0006832,0.0006832,0.0006832
34,3631.09,0.27989,0.72727,1,1.44111,0.0006733,0.0006733,0.0006733
35,3736.09,0.25333,0.69231,1,1.81504,0.0006634,0.0006634,0.0006634
36,3842.55,0.24829,0.72727,0.99301,1.45166,0.0006535,0.0006535,0.0006535
37,3945.5,0.26599,0.73427,0.99301,1.54902,0.0006436,0.0006436,0.0006436
38,4050.14,0.25664,0.70629,0.97203,1.5499,0.0006337,0.0006337,0.0006337
39,4152.13,0.26801,0.73427,1,1.24336,0.0006238,0.0006238,0.0006238
40,4256.13,0.22158,0.74126,1,1.49453,0.0006139,0.0006139,0.0006139
41,4357.08,0.20754,0.70629,1,1.46543,0.000604,0.000604,0.000604
42,4457.63,0.22129,0.72028,1,1.39365,0.0005941,0.0005941,0.0005941
43,4560.64,0.21887,0.75524,0.98601,1.46396,0.0005842,0.0005842,0.0005842
44,4660.74,0.20195,0.70629,0.99301,1.36777,0.0005743,0.0005743,0.0005743
45,4763.64,0.20312,0.72727,0.99301,1.30952,0.0005644,0.0005644,0.0005644
46,4865.18,0.20629,0.74825,0.98601,1.37656,0.0005545,0.0005545,0.0005545
47,4966.92,0.18625,0.73427,0.99301,1.55381,0.0005446,0.0005446,0.0005446
48,5070.16,0.19055,0.7972,0.99301,1.24009,0.0005347,0.0005347,0.0005347
49,5172.24,0.19436,0.73427,1,1.44971,0.0005248,0.0005248,0.0005248
50,5275.9,0.17986,0.74126,1,1.55166,0.0005149,0.0005149,0.0005149
